name,clubCode,position,tierLabel,xg90,xa90,xgi90,dc90,cs_prob,ffpl_pgw,next6_pgw,role,draft_now,draft_x,spike_gw,impact,season_points,status,flags,role_note
Beto,EVE,FWD,2,0.51,0.02,0.53,4.96,0.26,2.27,2.17,0.9,1.95,1.93,2.52,2.03,1.0,a,,
Hincapie,ARS,DEF,1,0.03,0.08,0.1,8.39,0.5,2.22,2.18,0.9,1.96,1.94,2.39,2.0,1.0,a,,
Groß,BHA,MID,2,0.09,0.19,0.28,7.97,0.27,2.01,1.93,1.0,1.93,1.89,2.22,1.99,2.0,a,PEN,
Tel,TOT,MID,3,0.16,0.15,0.31,7.63,0.23,1.77,1.96,1.0,1.96,1.89,2.18,1.98,2.0,a,,
Castagne,FUL,DEF,2,0.07,0.07,0.14,7.29,0.24,2.04,1.83,1.0,1.83,1.89,2.19,1.98,6.0,a,,
Georginio,BHA,FWD,2,0.24,0.12,0.36,6.08,0.27,1.99,1.9,1.0,1.9,1.84,2.18,1.94,5.0,d,DOUBT-75%,
Okafor,LEE,MID,2,0.26,0.09,0.35,6.94,0.25,2.29,2.17,0.9,1.95,1.81,2.39,1.91,1.0,a,,
Aina,NFO,DEF,3,0.03,0.05,0.08,7.47,0.23,1.72,1.82,1.0,1.82,1.82,2.13,1.91,5.0,a,,
Gray,TOT,MID,3,0.1,0.09,0.2,8.04,0.23,1.65,1.83,1.0,1.83,1.78,2.09,1.87,2.0,a,,
Buendía,AVL,MID,1,0.16,0.12,0.28,9.56,0.24,2.0,1.79,1.0,1.79,1.71,2.24,1.87,2.0,a,PEN,
Ekitiké,LIV,FWD,1,0.5,0.1,0.61,4.3,0.31,2.42,2.41,0.75,1.81,1.76,2.77,1.85,0.0,i,,
Tielemans,MUN,MID,1,0.07,0.15,0.22,9.38,0.27,1.71,1.76,1.0,1.76,1.78,2.01,1.85,2.0,a,NEW-CLUB,
Hudson-Odoi,NFO,MID,3,0.13,0.14,0.28,5.87,0.23,2.22,2.36,0.75,1.77,1.73,2.78,1.84,0.0,a,,
De Cuyper,BHA,DEF,2,0.09,0.2,0.29,5.19,0.27,1.84,1.76,1.0,1.76,1.77,1.95,1.82,17.0,a,,
Xavi,TOT,MID,3,0.15,0.18,0.33,7.75,0.23,2.1,2.33,0.75,1.74,1.75,2.59,1.81,0.0,i,,
Woltemade,NEW,FWD,2,0.36,0.07,0.42,4.85,0.28,2.6,2.37,0.75,1.78,1.69,2.76,1.81,0.0,a,PEN,
Janelt,BRE,MID,2,0.08,0.14,0.21,10.44,0.25,1.68,1.78,1.0,1.78,1.73,1.98,1.8,9.0,a,,
Eze,ARS,MID,1,0.22,0.13,0.35,6.27,0.5,1.97,1.94,0.9,1.74,1.68,2.14,1.75,1.0,a,,
L.Miley,NEW,MID,2,0.1,0.13,0.22,8.95,0.28,1.84,1.67,1.0,1.67,1.64,1.99,1.74,3.0,a,,
Robinson,FUL,DEF,2,0.06,0.08,0.15,8.09,0.24,1.8,1.62,1.0,1.62,1.66,1.95,1.74,1.0,a,,
Wilson,BRE,FWD,2,0.54,0.04,0.58,3.46,0.25,1.76,1.87,0.9,1.68,1.66,1.99,1.7,1.0,a,NEW-CLUB,
Maguire,MUN,DEF,1,0.06,0.03,0.09,8.11,0.27,1.58,1.63,1.0,1.63,1.6,1.87,1.68,1.0,a,,
Lerma,CRY,MID,3,0.1,0.09,0.2,10.58,0.27,2.06,2.2,0.75,1.65,1.64,2.32,1.67,0.0,a,,
Talbi,SUN,MID,2,0.12,0.08,0.21,6.06,0.26,1.81,1.88,0.9,1.7,1.6,1.99,1.66,1.0,a,,
J.Murphy,NEW,MID,2,0.16,0.14,0.3,5.84,0.28,1.87,1.7,0.9,1.53,1.54,1.99,1.62,0.0,a,,
Khusanov,MCI,DEF,1,0.05,0.07,0.12,7.75,0.38,1.46,1.51,1.0,1.51,1.56,1.74,1.62,2.0,a,,
Joelinton,NEW,MID,2,0.11,0.08,0.19,10.27,0.28,2.18,1.99,0.75,1.49,1.51,2.4,1.59,0.0,i,,
Kudus,TOT,MID,3,0.12,0.14,0.26,7.84,0.23,1.91,2.12,0.75,1.59,1.51,2.38,1.59,0.0,d,DOUBT-50%,
Danso,TOT,DEF,3,0.04,0.03,0.07,10.49,0.23,1.8,2.0,0.75,1.5,1.53,2.32,1.59,0.0,a,,
Smith Rowe,FUL,MID,2,0.2,0.07,0.27,7.21,0.24,2.15,1.93,0.75,1.45,1.5,2.34,1.57,0.0,a,,
Fofana,CHE,DEF,2,0.04,0.04,0.08,10.0,0.25,1.79,1.98,0.75,1.49,1.49,2.3,1.56,0.0,a,,
P.M.Sarr,TOT,MID,3,0.11,0.09,0.2,10.69,0.23,1.84,2.05,0.75,1.53,1.46,2.39,1.56,0.0,i,,
Adams,BOU,MID,1,0.06,0.06,0.11,10.83,0.26,1.9,1.73,0.9,1.56,1.48,1.92,1.56,1.0,a,,
Tete,FUL,DEF,2,0.05,0.07,0.12,8.15,0.24,2.14,1.93,0.75,1.45,1.47,2.33,1.55,0.0,a,,
Johnson,EVE,MID,2,0.13,0.08,0.21,6.78,0.26,1.67,1.59,0.9,1.43,1.45,1.89,1.53,1.0,a,NEW-CLUB,
Grealish,MCI,MID,1,0.12,0.17,0.29,7.6,0.38,1.6,1.65,0.9,1.49,1.44,1.9,1.52,1.0,a,NEW-CLUB,
Darlow,MUN,GK,1,0.0,0.0,0.0,0.0,0.27,1.88,1.93,0.75,1.45,1.45,2.21,1.51,0.0,a,"NEW-CLUB, GK-RISK",
