web_name,short_name,position,price,proj_pgw,proj_season,proj_next6_pgw,value,exp_mins_gw,attack_pts,cs_pts,defcon_pts,save_pts,bonus_pts,appearance_pts,conceded_pts,card_pts,xg90,xa90,dc90,cs_prob,fdr_next6,selected_by_percent,status,flags
Xavi,TOT,MID,6.0,1.947,73.997,1.947,0.325,45.974,0.653,0.122,0.102,0.0,0.153,0.836,0.259,-0.178,0.151,0.18,7.748,0.226,3.0,0.0,i,
Onana,AVL,MID,5.0,1.944,73.888,1.944,0.389,46.184,0.343,0.13,0.379,0.0,0.103,0.84,0.229,-0.08,0.097,0.059,10.397,0.239,3.0,0.0,i,
Lerma,CRY,MID,5.0,1.943,73.833,1.943,0.389,45.316,0.418,0.146,0.396,0.0,0.086,0.824,0.232,-0.158,0.105,0.09,10.583,0.273,3.0,0.1,a,
Yoro,MUN,DEF,5.0,1.927,73.225,1.933,0.385,45.526,0.203,0.581,0.313,0.0,0.044,0.828,0.0,-0.042,0.067,0.037,8.071,0.271,2.833,0.7,a,
Adams,BOU,MID,5.0,1.924,73.095,1.908,0.385,46.553,0.327,0.141,0.439,0.0,0.086,0.846,0.263,-0.178,0.057,0.056,10.829,0.257,3.667,0.3,d,DOUBT-75%
Reinildo,SUN,DEF,4.5,1.921,72.993,1.921,0.427,51.737,0.147,0.639,0.288,0.0,0.132,0.941,0.0,-0.225,0.018,0.035,7.609,0.263,3.0,0.5,a,
Castagne,FUL,DEF,4.5,1.916,72.817,1.902,0.426,48.368,0.272,0.553,0.235,0.0,0.079,0.879,0.0,-0.102,0.07,0.068,7.344,0.243,3.333,0.3,a,
Grealish,MCI,MID,6.5,1.904,72.334,1.904,0.293,42.816,0.589,0.192,0.086,0.0,0.232,0.778,0.162,-0.136,0.118,0.171,7.6,0.382,3.0,0.2,a,NEW-CLUB
Groß,BHA,MID,5.5,1.902,72.265,1.902,0.346,43.053,0.533,0.136,0.111,0.0,0.199,0.783,0.198,-0.059,0.091,0.193,7.972,0.269,3.0,13.8,a,PEN
Georginio,BHA,FWD,5.5,1.882,71.515,1.882,0.342,46.737,0.743,0.0,0.024,0.0,0.106,0.85,0.215,-0.056,0.235,0.123,6.081,0.269,3.0,1.0,a,
Hutchinson,NFO,MID,5.5,1.879,71.407,1.879,0.342,44.105,0.593,0.118,0.065,0.0,0.085,0.802,0.256,-0.04,0.114,0.187,7.199,0.227,3.0,0.2,a,
Maguire,MUN,DEF,5.0,1.876,71.273,1.882,0.375,43.395,0.251,0.554,0.31,0.0,0.109,0.789,0.0,-0.138,0.06,0.035,8.162,0.271,2.833,15.8,a,
